"Plot-Titel: SOS 1 West March 2026"
"Anz.","Datum Zeit, GMT+01:00","Wassergehalt, m³/m³ (LGR S/N: 22429151, SEN S/N: 22382326, LBL: Soil moisture 10cm)","Temp., °C (LGR S/N: 22429151_duplicate, SEN S/N: 22332514, LBL: Temperature)","RH, % (LGR S/N: 22429151_duplicate, SEN S/N: 22332514, LBL: Air humidity)","Wassergehalt, m³/m³ (LGR S/N: 22429151_duplicate, SEN S/N: 22382324, LBL: Soil moisture 5cm)","Wassergehalt, m³/m³ (LGR S/N: 22429151_duplicate, SEN S/N: 22382324, LBL: Soil moisture 5cm)","Windrichtung, ø (LGR S/N: 22429151_duplicate, SEN S/N: 22407863, LBL: Wind direction)","Windgeschwindigkeit, m/s (LGR S/N: 22429151_duplicate, SEN S/N: 22427869, LBL: Wind speed)","Böengeschwindigkeit, m/s (LGR S/N: 22429151_duplicate, SEN S/N: 22427869, LBL: Gust speed)"
893,03.17.26 04:38:53 AM,0.0141,19.531,47.181,0.0134,0.0134,70.2,0.00,0.00
894,03.17.26 04:39:53 AM,0.0141,19.660,47.051,0.0126,0.0126,70.2,0.00,0.00
895,03.17.26 04:40:53 AM,0.0141,19.767,46.778,0.0126,0.0126,70.2,0.00,0.00
896,03.17.26 04:41:53 AM,0.0141,19.789,46.159,0.0126,0.0126,70.2,0.00,0.00
897,03.17.26 04:42:53 AM,0.0141,19.810,46.058,0.0126,0.0126,70.2,0.00,0.00
898,03.17.26 04:43:53 AM,0.0141,19.767,45.721,0.0126,0.0126,70.2,0.00,0.00
899,03.17.26 04:44:53 AM,0.0141,19.703,45.922,0.0126,0.0126,70.2,0.00,0.00
900,03.17.26 04:45:53 AM,0.0141,19.660,46.415,0.0126,0.0126,70.2,0.00,0.00
901,03.17.26 04:46:53 AM,0.0141,19.574,46.126,0.0126,0.0126,70.2,0.00,0.00
902,03.17.26 04:47:53 AM,0.0141,19.360,46.064,0.0126,0.0126,70.2,0.00,1.01
903,03.17.26 04:48:53 AM,0.0141,19.317,46.773,0.0126,0.0126,70.2,0.00,0.50
904,03.17.26 04:49:53 AM,0.0141,19.360,46.915,0.0126,0.0126,70.2,0.00,0.00
905,03.17.26 04:50:53 AM,0.0141,19.403,46.960,0.0126,0.0126,70.2,0.00,0.00
906,03.17.26 04:51:53 AM,0.0141,19.403,47.079,0.0126,0.0126,70.2,0.00,0.00
907,03.17.26 04:52:53 AM,0.0141,19.488,47.039,0.0126,0.0126,70.2,0.00,0.00
908,03.17.26 04:53:53 AM,0.0141,19.596,46.329,0.0126,0.0126,70.2,0.00,1.01
909,03.17.26 04:54:53 AM,0.0134,19.660,45.927,0.0126,0.0126,70.2,0.50,1.01
910,03.17.26 04:55:53 AM,0.0141,19.639,45.872,0.0126,0.0126,70.2,0.50,1.01
911,03.17.26 04:56:53 AM,0.0141,19.639,44.036,0.0126,0.0126,70.2,0.00,1.01
912,03.17.26 04:57:53 AM,0.0141,19.510,45.707,0.0126,0.0126,70.2,0.00,0.00
913,03.17.26 04:58:53 AM,0.0141,19.445,45.753,0.0126,0.0126,70.2,0.00,0.00
914,03.17.26 04:59:53 AM,0.0141,19.467,46.329,0.0126,0.0126,70.2,0.00,0.00
915,03.17.26 05:00:53 AM,0.0141,19.510,46.126,0.0126,0.0126,70.2,0.00,0.00
916,03.17.26 05:01:53 AM,0.0141,19.510,46.952,0.0126,0.0126,70.2,0.00,0.00
917,03.17.26 05:02:53 AM,0.0141,19.531,45.344,0.0126,0.0126,70.2,0.00,0.00
918,03.17.26 05:03:53 AM,0.0141,19.445,45.151,0.0126,0.0126,70.2,0.00,0.00
919,03.17.26 05:04:53 AM,0.0141,19.381,46.957,0.0126,0.0126,70.2,0.00,0.00
920,03.17.26 05:05:53 AM,0.0141,19.317,46.545,0.0126,0.0126,70.2,0.00,0.00
921,03.17.26 05:06:53 AM,0.0141,19.252,47.445,0.0126,0.0126,70.2,0.00,0.00
922,03.17.26 05:07:53 AM,0.0134,19.403,47.584,0.0126,0.0126,70.2,0.00,0.00
923,03.17.26 05:08:53 AM,0.0141,19.488,46.598,0.0126,0.0126,70.2,0.00,0.00
924,03.17.26 05:09:53 AM,0.0141,19.467,45.948,0.0126,0.0126,71.6,0.00,1.01
925,03.17.26 05:10:53 AM,0.0141,19.360,45.106,0.0126,0.0126,71.6,0.00,0.50
926,03.17.26 05:11:53 AM,0.0134,19.231,46.279,0.0126,0.0126,71.6,0.00,0.00
927,03.17.26 05:12:53 AM,0.0141,19.167,45.458,0.0126,0.0126,71.6,0.00,0.00
928,03.17.26 05:13:53 AM,0.0134,19.102,46.268,0.0126,0.0126,71.6,0.00,0.00
929,03.17.26 05:14:53 AM,0.0134,19.059,46.348,0.0126,0.0126,71.6,0.00,0.00
930,03.17.26 05:15:53 AM,0.0134,18.995,46.584,0.0126,0.0126,71.6,0.00,0.00
931,03.17.26 05:16:53 AM,0.0141,18.931,46.700,0.0126,0.0126,71.6,0.00,0.00
932,03.17.26 05:17:53 AM,0.0141,18.845,47.167,0.0126,0.0126,71.6,0.00,0.00
933,03.17.26 05:18:53 AM,0.0134,18.823,47.417,0.0126,0.0126,71.6,0.00,0.00
934,03.17.26 05:19:53 AM,0.0141,18.738,47.515,0.0126,0.0126,71.6,0.00,0.00
935,03.17.26 05:20:53 AM,0.0134,18.716,47.749,0.0126,0.0126,71.6,0.00,0.00
936,03.17.26 05:21:53 AM,0.0134,18.695,47.930,0.0126,0.0126,71.6,0.00,0.00
937,03.17.26 05:22:53 AM,0.0141,18.845,48.032,0.0126,0.0126,71.6,0.00,0.00
938,03.17.26 05:23:53 AM,0.0134,18.995,47.678,0.0126,0.0126,71.6,0.00,0.00
939,03.17.26 05:24:53 AM,0.0134,19.081,47.587,0.0126,0.0126,71.6,0.00,0.00
940,03.17.26 05:25:53 AM,0.0134,19.167,47.382,0.0126,0.0126,71.6,0.00,0.00
941,03.17.26 05:26:53 AM,0.0134,19.295,47.230,0.0126,0.0126,71.6,0.00,0.00
942,03.17.26 05:27:53 AM,0.0134,19.467,47.170,0.0126,0.0126,71.6,0.00,0.00
943,03.17.26 05:28:53 AM,0.0134,19.596,46.804,0.0126,0.0126,71.6,0.00,0.00
944,03.17.26 05:29:53 AM,0.0134,19.703,46.238,0.0126,0.0126,71.6,0.00,0.00
945,03.17.26 05:30:53 AM,0.0134,19.767,46.155,0.0126,0.0126,71.6,0.00,0.00
946,03.17.26 05:31:53 AM,0.0134,19.746,45.797,0.0126,0.0126,71.6,0.00,0.00
947,03.17.26 05:32:53 AM,0.0134,19.767,45.565,0.0126,0.0126,71.6,0.00,0.00
948,03.17.26 05:33:53 AM,0.0134,19.703,45.692,0.0126,0.0126,71.6,0.00,0.00
949,03.17.26 05:34:53 AM,0.0134,19.681,45.280,0.0126,0.0126,71.6,0.00,0.00
950,03.17.26 05:35:53 AM,0.0134,19.510,43.038,0.0126,0.0126,71.6,0.00,0.50
951,03.17.26 05:36:53 AM,0.0134,19.231,45.032,0.0126,0.0126,71.6,0.00,0.00
952,03.17.26 05:37:53 AM,0.0134,19.167,45.025,0.0126,0.0126,71.6,0.00,0.00
953,03.17.26 05:38:53 AM,0.0134,19.081,46.311,0.0126,0.0126,71.6,0.00,0.00
954,03.17.26 05:39:53 AM,0.0134,18.995,43.545,0.0126,0.0126,71.6,0.00,0.00
955,03.17.26 05:40:53 AM,0.0134,18.952,45.431,0.0126,0.0126,71.6,0.00,0.00
956,03.17.26 05:41:53 AM,0.0134,18.802,45.060,0.0126,0.0126,71.6,0.00,0.00
957,03.17.26 05:42:53 AM,0.0134,18.673,46.653,0.0126,0.0126,71.6,0.00,0.00
958,03.17.26 05:43:53 AM,0.0134,18.673,47.568,0.0126,0.0126,71.6,0.00,0.00
959,03.17.26 05:44:53 AM,0.0134,18.652,47.300,0.0126,0.0126,71.6,0.00,0.00
960,03.17.26 05:45:53 AM,0.0134,18.652,47.436,0.0119,0.0119,71.6,0.00,0.00
961,03.17.26 05:46:53 AM,0.0134,18.630,47.170,0.0126,0.0126,71.6,0.00,0.00
962,03.17.26 05:47:53 AM,0.0134,18.759,47.868,0.0119,0.0119,71.6,0.50,1.01
963,03.17.26 05:48:53 AM,0.0134,18.952,47.633,0.0119,0.0119,71.6,0.00,0.50
964,03.17.26 05:49:53 AM,0.0134,19.188,47.341,0.0119,0.0119,71.6,0.00,0.00
965,03.17.26 05:50:53 AM,0.0134,19.338,46.719,0.0119,0.0119,71.6,0.00,0.00
966,03.17.26 05:51:53 AM,0.0134,19.445,46.609,0.0126,0.0126,71.6,0.00,0.00
967,03.17.26 05:52:53 AM,0.0134,19.510,46.648,0.0119,0.0119,71.6,0.00,0.00
968,03.17.26 05:53:53 AM,0.0134,19.574,46.758,0.0119,0.0119,71.6,0.00,0.00
969,03.17.26 05:54:53 AM,0.0134,19.660,46.653,0.0126,0.0126,71.6,0.00,0.00
970,03.17.26 05:55:53 AM,0.0134,19.660,46.659,0.0126,0.0126,71.6,0.00,0.00
971,03.17.26 05:56:53 AM,0.0134,19.703,46.815,0.0119,0.0119,71.6,0.00,0.00
972,03.17.26 05:57:53 AM,0.0134,19.810,46.540,0.0119,0.0119,71.6,0.00,0.00
973,03.17.26 05:58:53 AM,0.0134,19.853,46.339,0.0119,0.0119,71.6,0.00,0.00
974,03.17.26 05:59:53 AM,0.0134,19.810,46.250,0.0119,0.0119,71.6,0.00,0.00
975,03.17.26 06:00:53 AM,0.0134,19.810,45.907,0.0119,0.0119,71.6,0.00,0.00
976,03.17.26 06:01:53 AM,0.0134,19.724,43.606,0.0119,0.0119,71.6,0.00,0.00
977,03.17.26 06:02:53 AM,0.0134,19.488,44.547,0.0119,0.0119,71.6,0.00,0.00
978,03.17.26 06:03:53 AM,0.0126,19.381,44.370,0.0119,0.0119,71.6,0.00,0.00
979,03.17.26 06:04:53 AM,0.0134,19.231,44.508,0.0119,0.0119,71.6,0.00,0.00
980,03.17.26 06:05:53 AM,0.0134,19.124,44.533,0.0119,0.0119,71.6,0.00,0.00
981,03.17.26 06:06:53 AM,0.0134,18.974,45.362,0.0119,0.0119,71.6,0.00,0.00
982,03.17.26 06:07:53 AM,0.0134,18.931,47.120,0.0119,0.0119,71.6,0.00,0.00
983,03.17.26 06:08:53 AM,0.0134,18.802,45.776,0.0119,0.0119,71.6,0.00,0.00
984,03.17.26 06:09:53 AM,0.0134,18.781,46.644,0.0119,0.0119,71.6,0.00,0.00
985,03.17.26 06:10:53 AM,0.0134,18.716,47.433,0.0119,0.0119,71.6,0.00,0.00
986,03.17.26 06:11:53 AM,0.0134,18.652,48.028,0.0119,0.0119,71.6,0.00,0.00
987,03.17.26 06:12:53 AM,0.0126,18.652,48.342,0.0119,0.0119,71.6,0.00,0.00
988,03.17.26 06:13:53 AM,0.0126,18.609,48.490,0.0119,0.0119,71.6,0.00,0.00
989,03.17.26 06:14:53 AM,0.0134,18.588,46.838,0.0119,0.0119,71.6,0.00,0.00
990,03.17.26 06:15:53 AM,0.0134,18.609,46.236,0.0119,0.0119,71.6,0.00,0.00
991,03.17.26 06:16:53 AM,0.0134,18.609,45.258,0.0119,0.0119,71.6,0.00,0.00
992,03.17.26 06:17:53 AM,0.0134,18.566,45.357,0.0119,0.0119,71.6,0.00,0.00
993,03.17.26 06:18:53 AM,0.0134,18.566,45.245,0.0119,0.0119,71.6,0.00,0.00
994,03.17.26 06:19:53 AM,0.0134,18.480,45.460,0.0119,0.0119,71.6,0.00,0.00
995,03.17.26 06:20:53 AM,0.0134,18.416,45.936,0.0119,0.0119,71.6,0.00,0.50
996,03.17.26 06:21:53 AM,0.0126,18.395,45.129,0.0119,0.0119,71.6,0.00,0.00
997,03.17.26 06:22:53 AM,0.0134,18.373,47.382,0.0119,0.0119,71.6,0.00,0.00
998,03.17.26 06:23:53 AM,0.0134,18.459,47.024,0.0119,0.0119,71.6,0.00,0.00
999,03.17.26 06:24:53 AM,0.0126,18.545,47.048,0.0119,0.0119,71.6,0.00,0.00
1000,03.17.26 06:25:53 AM,0.0126,18.630,47.016,0.0119,0.0119,71.6,0.00,0.00
1001,03.17.26 06:26:53 AM,0.0134,18.738,47.240,0.0119,0.0119,71.6,0.00,0.00
1002,03.17.26 06:27:53 AM,0.0134,18.823,46.883,0.0119,0.0119,71.6,0.00,0.00
1003,03.17.26 06:28:53 AM,0.0134,18.974,46.493,0.0119,0.0119,71.6,0.00,0.00
1004,03.17.26 06:29:53 AM,0.0134,19.059,46.438,0.0119,0.0119,71.6,0.00,0.00
1005,03.17.26 06:30:53 AM,0.0134,19.059,45.257,0.0119,0.0119,71.6,0.50,1.01
1006,03.17.26 06:31:53 AM,0.0126,18.931,44.781,0.0119,0.0119,85.6,0.50,1.51
1007,03.17.26 06:32:53 AM,0.0134,18.888,46.421,0.0119,0.0119,154.4,1.01,1.51
1008,03.17.26 06:33:53 AM,0.0134,18.931,45.519,0.0119,0.0119,157.2,1.01,1.51
1009,03.17.26 06:34:53 AM,0.0126,18.845,44.947,0.0119,0.0119,157.2,1.01,1.51
1010,03.17.26 06:35:53 AM,0.0134,18.738,45.513,0.0119,0.0119,157.2,0.50,1.01
1011,03.17.26 06:36:53 AM,0.0134,18.695,45.762,0.0119,0.0119,157.2,0.50,1.01
1012,03.17.26 06:37:53 AM,0.0126,18.673,45.216,0.0119,0.0119,157.2,0.50,1.01
1013,03.17.26 06:38:53 AM,0.0126,18.652,45.148,0.0119,0.0119,157.2,0.50,1.01
1014,03.17.26 06:39:53 AM,0.0126,18.695,45.216,0.0119,0.0119,157.2,0.00,0.00
1015,03.17.26 06:40:53 AM,0.0134,18.673,44.269,0.0119,0.0119,157.2,0.00,0.00
1016,03.17.26 06:41:53 AM,0.0126,18.566,45.188,0.0119,0.0119,157.2,0.00,0.00
1017,03.17.26 06:42:53 AM,0.0134,18.588,45.357,0.0119,0.0119,157.2,0.00,0.00
1018,03.17.26 06:43:53 AM,0.0126,18.545,45.147,0.0119,0.0119,157.2,0.00,0.00
1019,03.17.26 06:44:53 AM,0.0126,18.437,45.341,0.0126,0.0126,157.2,0.00,0.00
1020,03.17.26 06:45:53 AM,0.0126,18.373,45.705,0.0119,0.0119,157.2,0.00,0.00
1021,03.17.26 06:46:53 AM,0.0126,18.352,45.898,0.0119,0.0119,157.2,0.00,0.00
1022,03.17.26 06:47:53 AM,0.0126,18.416,46.598,0.0119,0.0119,157.2,0.00,0.00
1023,03.17.26 06:48:53 AM,0.0126,18.480,46.273,0.0119,0.0119,157.2,0.00,0.00
1024,03.17.26 06:49:53 AM,0.0126,18.480,45.600,0.0119,0.0119,157.2,0.00,0.00
1025,03.17.26 06:50:53 AM,0.0126,18.437,45.212,0.0119,0.0119,157.2,0.00,0.00
1026,03.17.26 06:51:53 AM,0.0126,18.373,45.414,0.0119,0.0119,157.2,0.00,0.00
1027,03.17.26 06:52:53 AM,0.0126,18.373,45.650,0.0119,0.0119,157.2,0.00,0.00
1028,03.17.26 06:53:53 AM,0.0126,18.352,46.261,0.0119,0.0119,157.2,0.00,0.00
1029,03.17.26 06:54:53 AM,0.0126,18.330,46.439,0.0119,0.0119,157.2,0.00,0.00
1030,03.17.26 06:55:53 AM,0.0126,18.416,46.433,0.0119,0.0119,157.2,0.00,0.00
1031,03.17.26 06:56:53 AM,0.0126,18.416,46.374,0.0119,0.0119,157.2,0.00,0.00
1032,03.17.26 06:57:53 AM,0.0126,18.437,45.647,0.0119,0.0119,157.2,0.00,0.00
1033,03.17.26 06:58:53 AM,0.0126,18.459,46.438,0.0119,0.0119,157.2,0.00,0.00
1034,03.17.26 06:59:53 AM,0.0126,18.437,46.540,0.0119,0.0119,157.2,0.00,0.00
1035,03.17.26 07:00:53 AM,0.0126,18.502,46.522,0.0119,0.0119,157.2,0.00,0.00
1036,03.17.26 07:01:53 AM,0.0126,18.588,46.654,0.0119,0.0119,157.2,0.00,0.00
1037,03.17.26 07:02:53 AM,0.0126,18.609,46.494,0.0119,0.0119,157.2,0.00,0.00
1038,03.17.26 07:03:53 AM,0.0126,18.695,46.311,0.0119,0.0119,157.2,0.00,0.00
1039,03.17.26 07:04:53 AM,0.0126,18.781,46.470,0.0119,0.0119,157.2,0.00,0.00
1040,03.17.26 07:05:53 AM,0.0126,18.845,46.543,0.0119,0.0119,157.2,0.00,0.00
1041,03.17.26 07:06:53 AM,0.0126,18.952,46.465,0.0119,0.0119,157.2,0.00,0.00
1042,03.17.26 07:07:53 AM,0.0126,19.059,46.337,0.0119,0.0119,157.2,0.00,0.00
1043,03.17.26 07:08:53 AM,0.0126,19.188,46.174,0.0119,0.0119,157.2,0.00,0.00
1044,03.17.26 07:09:53 AM,0.0126,19.295,45.852,0.0119,0.0119,157.2,0.00,0.00
1045,03.17.26 07:10:53 AM,0.0126,19.381,45.771,0.0119,0.0119,157.2,0.00,0.00
1046,03.17.26 07:11:53 AM,0.0126,19.445,45.614,0.0119,0.0119,157.2,0.00,0.00
1047,03.17.26 07:12:53 AM,0.0126,19.510,45.444,0.0119,0.0119,157.2,0.00,0.00
1048,03.17.26 07:13:53 AM,0.0126,19.596,45.235,0.0119,0.0119,157.2,0.00,0.00
1049,03.17.26 07:14:53 AM,0.0134,19.703,45.064,0.0119,0.0119,157.2,0.00,0.00
1050,03.17.26 07:15:53 AM,0.0126,19.767,44.842,0.0119,0.0119,157.2,0.00,0.00
1051,03.17.26 07:16:53 AM,0.0126,19.746,43.844,0.0119,0.0119,157.2,0.00,0.50
1052,03.17.26 07:17:53 AM,0.0134,20.067,44.108,0.0119,0.0119,157.2,0.00,0.50
1053,03.17.26 07:18:53 AM,0.0134,20.539,43.175,0.0119,0.0119,157.2,0.00,0.00
1054,03.17.26 07:19:53 AM,0.0126,21.076,42.126,0.0119,0.0119,157.2,0.00,0.00
1055,03.17.26 07:20:53 AM,0.0126,21.547,40.935,0.0119,0.0119,157.2,0.00,0.00
1056,03.17.26 07:21:53 AM,0.0134,22.062,39.788,0.0119,0.0119,157.2,0.00,0.00
1057,03.17.26 07:22:53 AM,0.0134,22.555,38.584,0.0119,0.0119,157.2,0.00,0.00
1058,03.17.26 07:23:53 AM,0.0134,23.049,37.865,0.0112,0.0112,157.2,0.00,0.00
1059,03.17.26 07:24:53 AM,0.0126,23.456,36.928,0.0119,0.0119,157.2,0.00,0.00
1060,03.17.26 07:25:53 AM,0.0126,23.628,36.548,0.0119,0.0119,157.2,0.00,0.00
1061,03.17.26 07:26:53 AM,0.0126,23.735,36.298,0.0112,0.0112,157.2,0.00,0.00
1062,03.17.26 07:27:53 AM,0.0126,23.778,36.120,0.0119,0.0119,157.2,0.00,0.00
1063,03.17.26 07:28:53 AM,0.0126,23.757,36.104,0.0119,0.0119,157.2,0.00,0.00
1064,03.17.26 07:29:53 AM,0.0126,23.735,36.168,0.0119,0.0119,157.2,0.00,0.00
1065,03.17.26 07:30:53 AM,0.0126,23.735,36.101,0.0119,0.0119,157.2,0.00,0.00
1066,03.17.26 07:31:53 AM,0.0126,23.864,35.990,0.0119,0.0119,157.2,0.00,0.00
1067,03.17.26 07:32:53 AM,0.0134,24.035,35.790,0.0119,0.0119,157.2,0.00,0.00
1068,03.17.26 07:33:53 AM,0.0126,24.293,35.460,0.0119,0.0119,157.2,0.00,0.00
1069,03.17.26 07:34:53 AM,0.0126,24.357,35.166,0.0119,0.0119,157.2,0.00,0.00
1070,03.17.26 07:35:53 AM,0.0126,24.121,35.706,0.0119,0.0119,157.2,0.00,0.00
1071,03.17.26 07:36:53 AM,0.0126,23.971,35.991,0.0119,0.0119,157.2,0.00,0.00
1072,03.17.26 07:37:53 AM,0.0126,24.078,35.726,0.0119,0.0119,157.2,0.00,0.00
1073,03.17.26 07:38:53 AM,0.0126,24.378,35.186,0.0119,0.0119,157.2,0.00,0.00
1074,03.17.26 07:39:53 AM,0.0126,24.057,35.413,0.0119,0.0119,108.1,1.01,3.52
1075,03.17.26 07:40:53 AM,0.0126,24.164,35.450,0.0119,0.0119,59.0,2.52,3.02
1076,03.17.26 07:41:53 AM,0.0126,24.185,35.309,0.0119,0.0119,70.2,2.52,4.03
1077,03.17.26 07:42:53 AM,0.0126,24.121,35.346,0.0119,0.0119,57.6,3.02,4.53
1078,03.17.26 07:43:53 AM,0.0126,24.143,35.317,0.0119,0.0119,42.1,3.02,4.03
1079,03.17.26 07:44:53 AM,0.0126,24.143,35.264,0.0119,0.0119,35.1,2.52,4.53
1080,03.17.26 07:45:53 AM,0.0126,24.250,34.878,0.0119,0.0119,39.3,2.01,3.02
1081,03.17.26 07:46:53 AM,0.0126,24.400,34.640,0.0119,0.0119,53.3,2.52,3.02
1082,03.17.26 07:47:53 AM,0.0126,24.614,34.195,0.0119,0.0119,64.6,1.51,2.01
1083,03.17.26 07:48:53 AM,0.0126,24.872,33.881,0.0119,0.0119,80.0,0.50,1.51
1084,03.17.26 07:49:53 AM,0.0119,25.258,33.547,0.0119,0.0119,78.6,0.00,0.00
1085,03.17.26 07:50:53 AM,0.0126,25.494,33.202,0.0119,0.0119,78.6,0.00,0.00
1086,03.17.26 07:51:53 AM,0.0126,25.687,33.019,0.0119,0.0119,78.6,0.00,0.00
1087,03.17.26 07:52:53 AM,0.0126,25.880,32.364,0.0119,0.0119,78.6,0.00,0.00
1088,03.17.26 07:53:53 AM,0.0126,26.051,32.177,0.0119,0.0119,78.6,0.00,0.00
1089,03.17.26 07:54:53 AM,0.0126,26.244,32.078,0.0119,0.0119,78.6,0.00,0.00
1090,03.17.26 07:55:53 AM,0.0126,26.223,31.936,0.0119,0.0119,78.6,0.00,0.50
1091,03.17.26 07:56:53 AM,0.0126,26.352,31.746,0.0119,0.0119,78.6,0.00,0.00
1092,03.17.26 07:57:53 AM,0.0126,26.523,31.153,0.0119,0.0119,78.6,0.00,1.01
1093,03.17.26 07:58:53 AM,0.0126,26.223,31.531,0.0126,0.0126,78.6,0.50,1.51
1094,03.17.26 07:59:53 AM,0.0126,25.966,32.274,0.0126,0.0126,78.6,0.50,1.01
1095,03.17.26 08:00:53 AM,0.0126,25.923,32.268,0.0119,0.0119,78.6,0.00,1.01
1096,03.17.26 08:01:53 AM,0.0126,26.009,31.957,0.0119,0.0119,78.6,0.00,0.50
1097,03.17.26 08:02:53 AM,0.0126,26.073,31.774,0.0119,0.0119,78.6,0.50,1.01
1098,03.17.26 08:03:53 AM,0.0126,25.944,32.073,0.0119,0.0119,78.6,0.50,1.51
1099,03.17.26 08:04:53 AM,0.0126,25.944,31.922,0.0119,0.0119,78.6,0.00,1.01
1100,03.17.26 08:05:53 AM,0.0126,25.944,31.885,0.0119,0.0119,78.6,0.00,1.01
1101,03.17.26 08:06:53 AM,0.0126,26.094,31.684,0.0119,0.0119,78.6,0.00,0.50
1102,03.17.26 08:07:53 AM,0.0126,26.373,31.322,0.0119,0.0119,78.6,0.00,0.00
1103,03.17.26 08:08:53 AM,0.0126,26.566,30.759,0.0119,0.0119,78.6,0.00,0.00
1104,03.17.26 08:09:53 AM,0.0126,26.588,30.668,0.0126,0.0126,78.6,0.00,0.50
1105,03.17.26 08:10:53 AM,0.0126,26.759,30.455,0.0119,0.0119,78.6,0.00,0.00
1106,03.17.26 08:11:53 AM,0.0126,27.059,30.277,0.0119,0.0119,78.6,0.00,0.00
1107,03.17.26 08:12:53 AM,0.0126,27.167,29.902,0.0126,0.0126,78.6,0.00,0.50
1108,03.17.26 08:13:53 AM,0.0126,27.317,29.729,0.0126,0.0126,78.6,0.00,0.00
1109,03.17.26 08:14:53 AM,0.0126,27.446,29.660,0.0126,0.0126,78.6,0.00,0.00
1110,03.17.26 08:15:53 AM,0.0126,27.467,29.311,0.0126,0.0126,78.6,0.00,0.00
1111,03.17.26 08:16:53 AM,0.0126,27.639,29.242,0.0126,0.0126,78.6,0.00,0.00
1112,03.17.26 08:17:53 AM,0.0126,28.068,28.707,0.0126,0.0126,78.6,0.00,0.00
1113,03.17.26 08:18:53 AM,0.0119,28.432,28.025,0.0126,0.0126,78.6,0.00,0.00
1114,03.17.26 08:19:53 AM,0.0119,28.582,27.741,0.0126,0.0126,78.6,0.00,0.00
1115,03.17.26 08:20:53 AM,0.0126,28.904,27.523,0.0126,0.0126,78.6,0.00,0.00
1116,03.17.26 08:21:53 AM,0.0126,29.226,27.205,0.0126,0.0126,78.6,0.00,0.00
1117,03.17.26 08:22:53 AM,0.0126,29.505,26.822,0.0126,0.0126,78.6,0.00,0.00
1118,03.17.26 08:23:53 AM,0.0126,29.633,26.633,0.0126,0.0126,78.6,0.00,0.00
1119,03.17.26 08:24:53 AM,0.0126,29.676,26.313,0.0126,0.0126,78.6,0.00,0.00
1120,03.17.26 08:25:53 AM,0.0126,29.376,26.523,0.0134,0.0134,78.6,0.00,0.50
1121,03.17.26 08:26:53 AM,0.0126,29.226,26.839,0.0126,0.0126,78.6,0.00,0.00
1122,03.17.26 08:27:53 AM,0.0126,29.312,26.876,0.0126,0.0126,78.6,0.00,0.00
1123,03.17.26 08:28:53 AM,0.0126,28.904,27.123,0.0126,0.0126,78.6,0.50,1.01
1124,03.17.26 08:29:53 AM,0.0126,28.539,27.503,0.0126,0.0126,78.6,0.00,1.01
1125,03.17.26 08:30:53 AM,0.0126,28.625,27.459,0.0126,0.0126,78.6,0.00,0.00
1126,03.17.26 08:31:53 AM,0.0126,28.711,27.541,0.0134,0.0134,78.6,0.00,0.50
1127,03.17.26 08:32:53 AM,0.0126,29.076,26.715,0.0126,0.0126,78.6,0.00,0.00
1128,03.17.26 08:33:53 AM,0.0126,29.247,26.638,0.0134,0.0134,78.6,0.00,0.00
1129,03.17.26 08:34:53 AM,0.0126,29.440,26.236,0.0134,0.0134,80.0,0.00,0.00
1130,03.17.26 08:35:53 AM,0.0126,29.419,26.120,0.0134,0.0134,77.2,0.00,1.01
1131,03.17.26 08:36:53 AM,0.0126,29.440,26.044,0.0134,0.0134,64.6,0.00,0.50
1132,03.17.26 08:37:53 AM,0.0126,29.526,25.956,0.0134,0.0134,64.6,0.00,1.01
1133,03.17.26 08:38:53 AM,0.0126,29.333,26.006,0.0134,0.0134,64.6,0.50,1.51
1134,03.17.26 08:39:53 AM,0.0126,29.118,26.317,0.0134,0.0134,64.6,0.50,1.51
1135,03.17.26 08:40:53 AM,0.0126,29.033,26.419,0.0134,0.0134,50.5,0.00,1.51
1136,03.17.26 08:41:53 AM,0.0126,29.419,25.997,0.0134,0.0134,49.1,0.00,0.00
1137,03.17.26 08:42:53 AM,0.0126,29.676,25.614,0.0134,0.0134,49.1,0.00,0.50
1138,03.17.26 08:43:53 AM,0.0126,30.019,25.312,0.0134,0.0134,49.1,0.00,0.00
1139,03.17.26 08:44:53 AM,0.0126,30.127,25.333,0.0134,0.0134,49.1,0.00,0.00
1140,03.17.26 08:45:53 AM,0.0126,30.105,25.530,0.0141,0.0141,49.1,0.50,1.01
1141,03.17.26 08:46:53 AM,0.0126,29.934,25.545,0.0134,0.0134,82.8,0.50,1.01
1142,03.17.26 08:47:53 AM,0.0126,29.676,25.921,0.0134,0.0134,127.8,0.50,1.01
1143,03.17.26 08:48:53 AM,0.0126,29.676,25.811,0.0141,0.0141,127.8,0.00,1.01
1144,03.17.26 08:49:53 AM,0.0126,29.633,25.600,0.0141,0.0141,127.8,0.00,0.50
1145,03.17.26 08:50:53 AM,0.0126,29.526,25.795,0.0141,0.0141,127.8,0.00,1.01
1146,03.17.26 08:51:53 AM,0.0126,29.569,25.919,0.0141,0.0141,127.8,0.50,1.01
1147,03.17.26 08:52:53 AM,0.0126,29.762,25.699,0.0141,0.0141,127.8,0.00,0.50
1148,03.17.26 08:53:53 AM,0.0126,29.869,25.472,0.0141,0.0141,127.8,0.00,0.50
1149,03.17.26 08:54:53 AM,0.0126,29.912,25.351,0.0141,0.0141,127.8,0.00,1.01
