Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
28 May 2017;3.9;100.78174167709;7.0;97.1;-24.1296;15.8947;31201
29 May 2017;1.9;106.60834245254;4.5;100.5;-24.1296;15.8947;31201
30 May 2017;0.4;158.10101728023;3.5;3.45;-24.1296;15.8947;31201
31 May 2017;1.2;181.71407692785;3.5;161.1;-24.1296;15.8947;31201
01 Jun 2017;0.4;279.38238411626;3.9;329.6;-24.1296;15.8947;31201
02 Jun 2017;1.0;296.21850619771;6.2;347.8;-24.1296;15.8947;31201
03 Jun 2017;1.7;280.83311361942;6.8;317.5;-24.1296;15.8947;31201
04 Jun 2017;1.2;213.89211998281;4.7;180.9;-24.1296;15.8947;31201
05 Jun 2017;1.5;289.52905723708;6.8;321.3;-24.1296;15.8947;31201
06 Jun 2017;2.9;298.06146681986;10.3;323.2;-24.1296;15.8947;31201
07 Jun 2017;4.3;173.65962398756;8.1;177.8;-24.1296;15.8947;31201
08 Jun 2017;1.6;153.72881955923;4.0;109.7;-24.1296;15.8947;31201
09 Jun 2017;4.7;336.38330757634;10.4;351.7;-24.1296;15.8947;31201
10 Jun 2017;2.0;289.40183555157;6.5;301.9;-24.1296;15.8947;31201
11 Jun 2017;1.3;254.60172158957;4.2;303.1;-24.1296;15.8947;31201
12 Jun 2017;1.4;233.63391068878;4.7;334.9;-24.1296;15.8947;31201
13 Jun 2017;1.3;224.17164408642;4.3;239.5;-24.1296;15.8947;31201
14 Jun 2017;1.9;252.85763933959;5.5;285.8;-24.1296;15.8947;31201
15 Jun 2017;0.2;234.86000054943;3.4;318.9;-24.1296;15.8947;31201
16 Jun 2017;1.0;254.22827073016;5.2;334.1;-24.1296;15.8947;31201
17 Jun 2017;1.2;223.48654923371;3.7;240.1;-24.1296;15.8947;31201
18 Jun 2017;2.0;285.90024183207;8.0;334.3;-24.1296;15.8947;31201
19 Jun 2017;1.7;261.85418609674;6.7;327.2;-24.1296;15.8947;31201
20 Jun 2017;2.0;214.5413657419;4.3;285.9;-24.1296;15.8947;31201
21 Jun 2017;1.8;216.84916458874;5.0;227.8;-24.1296;15.8947;31201
22 Jun 2017;2.2;215.63650013444;4.4;264.0;-24.1296;15.8947;31201
23 Jun 2017;0.7;141.70514266218;4.0;107.7;-24.1296;15.8947;31201
24 Jun 2017;0.9;205.27301528369;7.1;352.2;-24.1296;15.8947;31201
25 Jun 2017;1.2;35.90433952325;7.3;21.57;-24.1296;15.8947;31201
26 Jun 2017;1.6;283.19337965198;6.2;344.9;-24.1296;15.8947;31201
27 Jun 2017;5.0;303.98483631662;11.1;300.1;-24.1296;15.8947;31201
28 Jun 2017;1.1;112.75375028072;6.3;5.35;-24.1296;15.8947;31201
29 Jun 2017;3.4;341.38416024291;10.2;327.8;-24.1296;15.8947;31201
30 Jun 2017;1.8;294.34735504733;6.6;300.6;-24.1296;15.8947;31201
01 Jul 2017;1.8;262.88837364979;5.9;285.1;-24.1296;15.8947;31201
02 Jul 2017;0.9;230.66623088451;3.4;304.3;-24.1296;15.8947;31201
03 Jul 2017;0.6;282.56084600103;4.2;249.1;-24.1296;15.8947;31201
04 Jul 2017;0.8;265.73259606086;4.2;325.8;-24.1296;15.8947;31201
05 Jul 2017;0.5;292.24723101861;4.3;316.9;-24.1296;15.8947;31201
06 Jul 2017;1.2;13.379880084781;5.5;36.16;-24.1296;15.8947;31201
07 Jul 2017;1.4;319.79842898678;6.5;0.08;-24.1296;15.8947;31201
08 Jul 2017;3.1;304.06319110249;9.3;324.7;-24.1296;15.8947;31201
09 Jul 2017;1.1;251.75473807003;4.7;291.9;-24.1296;15.8947;31201
10 Jul 2017;1.4;273.10180001707;4.8;303.5;-24.1296;15.8947;31201
11 Jul 2017;1.3;248.9781552919;5.4;314.8;-24.1296;15.8947;31201
12 Jul 2017;1.6;200.02435846057;4.6;227.6;-24.1296;15.8947;31201
13 Jul 2017;1.3;249.97687688061;5.3;291.1;-24.1296;15.8947;31201
14 Jul 2017;2.7;291.20126870142;5.8;301.3;-24.1296;15.8947;31201
15 Jul 2017;1.6;288.54138933934;5.1;294.7;-24.1296;15.8947;31201
16 Jul 2017;0.9;129.96532634088;4.3;99.4;-24.1296;15.8947;31201
17 Jul 2017;1.8;91.455049130244;5.9;94.6;-24.1296;15.8947;31201
18 Jul 2017;2.0;208.06293843177;4.5;181.7;-24.1296;15.8947;31201
19 Jul 2017;1.7;212.13986499931;4.0;188.9;-24.1296;15.8947;31201
20 Jul 2017;1.5;115.84573510749;3.8;138.7;-24.1296;15.8947;31201
21 Jul 2017;1.4;246.53355961205;4.9;231.5;-24.1296;15.8947;31201
22 Jul 2017;1.7;229.55188198327;4.8;219.6;-24.1296;15.8947;31201
23 Jul 2017;0.7;225.29091294721;4.7;315.0;-24.1296;15.8947;31201
24 Jul 2017;1.7;282.83501887139;6.7;338.2;-24.1296;15.8947;31201
25 Jul 2017;2.1;201.52842175209;7.4;180.4;-24.1296;15.8947;31201
26 Jul 2017;2.7;100.89950153881;6.7;101.8;-24.1296;15.8947;31201
27 Jul 2017;2.9;49.210895130238;9.1;30.94;-24.1296;15.8947;31201
28 Jul 2017;1.9;346.51922807396;7.3;2.49;-24.1296;15.8947;31201
29 Jul 2017;2.1;29.698785588317;7.9;28.09;-24.1296;15.8947;31201
30 Jul 2017;2.2;15.030748044868;6.0;29.38;-24.1296;15.8947;31201
31 Jul 2017;4.6;325.04015795484;12.5;351.1;-24.1296;15.8947;31201
01 Aug 2017;1.2;245.74261557879;3.5;271.1;-24.1296;15.8947;31201
02 Aug 2017;1.2;230.93394651436;5.4;199.3;-24.1296;15.8947;31201
03 Aug 2017;1.1;248.77745400375;5.3;355.6;-24.1296;15.8947;31201
04 Aug 2017;2.4;194.9327464523;6.0;199.2;-24.1296;15.8947;31201
05 Aug 2017;2.0;208.92656656164;4.4;221.8;-24.1296;15.8947;31201
06 Aug 2017;1.5;212.22645462489;4.0;239.6;-24.1296;15.8947;31201
07 Aug 2017;2.3;244.30251258353;5.0;283.5;-24.1296;15.8947;31201
08 Aug 2017;2.3;270.63100132849;6.3;300.8;-24.1296;15.8947;31201
09 Aug 2017;1.5;237.63578319695;4.7;228.6;-24.1296;15.8947;31201
10 Aug 2017;1.5;254.72109878862;5.3;279.9;-24.1296;15.8947;31201
11 Aug 2017;1.9;219.81995992301;5.2;219.8;-24.1296;15.8947;31201
12 Aug 2017;1.7;223.0730187027;5.2;219.3;-24.1296;15.8947;31201
13 Aug 2017;1.3;209.69410179335;5.6;187.3;-24.1296;15.8947;31201
14 Aug 2017;0.9;285.66114440791;6.8;357.5;-24.1296;15.8947;31201
15 Aug 2017;2.1;238.32823941077;6.1;228.9;-24.1296;15.8947;31201
16 Aug 2017;2.9;190.17123699369;5.8;205.5;-24.1296;15.8947;31201
17 Aug 2017;3.3;101.61022092703;6.8;103.1;-24.1296;15.8947;31201
18 Aug 2017;3.5;79.557485903829;6.7;66.11;-24.1296;15.8947;31201
19 Aug 2017;2.9;304.26183575989;7.4;330.3;-24.1296;15.8947;31201
20 Aug 2017;1.7;239.43494719647;5.8;307.1;-24.1296;15.8947;31201
21 Aug 2017;1.8;215.78693628488;5.2;258.9;-24.1296;15.8947;31201
